d1	age	weight
NAG001	5.65434005911406	-3.15320427151149	1.75239373880995
NAG002	6.94218520272036	-0.211669130651392	1.14494432497751
NAG003	1.90036397628374	-3.29481925815437	3.03683466265017
NAG004	3.80139020632266	-2.67625145895298	0.120237617700717
NAG005	0.226924640628322	-0.86141886917954	2.93732038145818
NAG006	3.89296119488932	0.814446488831975	-0.313716769630346
NAG007	5.07004579228704	-4.73198146525675	2.49510730354737
NAG008	4.51984589417374	-1.6855280149464	1.15892294893571
NAG009	3.95967600142983	0.442695402245149	2.38437035178108
NAG0010	5.61942156532936	0.558796711653959	1.13057850823224
NAG0011	5.72408160501375	3.00401430453725	-2.39272385453239
NAG0012	9.69624179381412	0.415262196201277	1.11772616544921
NAG0013	7.09409447156905	5.63144716592513	0.85739949675555
NAG0014	4.01450640588275	-0.0919966079661014	-2.37514213860306
NAG0015	4.23145603756354	2.47683744756053	0.752204663568075
NAG0016	1.90022169219314	-0.214359333095731	4.10199531280606
NAG0017	3.66393765420693	1.4941193112615	1.81111563165814
NAG0018	4.18082194462969	-5.21248350873477	1.44310774228872
NAG0019	4.93312348903635	-2.90096672435896	2.85360235278481
NAG0020	5.27451132144237	0.674463535671634	2.22491446286599
